Dati aggregati delle interazioni con i tuoi post organici e sponsorizzati nel corso del tempo. La data indica quando i tuoi post sono stati visualizzati dagli utenti LinkedIn. La data è posticipata di un massimo di 2 giorni. Tutte le date e gli orari sono nel fuso orario UTC.;;;;;;;;;;;;;;;;;;;
Data;Impressioni (organiche);Impressioni (sponsorizzate);Impressioni (totale);Impressioni uniche (organiche);Clic (organici);Clic (sponsorizzati);Clic (totale);Reazioni (organiche);Reazioni (sponsorizzate);Reazioni (totale);Commenti (organici);Commenti (sponsorizzati);Commenti (totale);Diffusioni post (organiche);Diffusioni post (sponsorizzate);Diffusioni post (totali);Percentuale di interesse (organico);Percentuale di interesse (sponsorizzato);Percentuale di interesse (totale)
05/12/2026;191;0;191;82;17;0;17;9;0;9;0;0;0;0;0;0;0,136125654450262;0;0,136125654450262
05/13/2026;136;0;136;40;16;0;16;3;0;3;0;0;0;0;0;0;0,139705882352941;0;0,139705882352941
05/14/2026;241;0;241;81;82;0;82;9;0;9;0;0;0;0;0;0;0,377593360995851;0;0,377593360995851
05/15/2026;234;0;234;109;70;0;70;19;0;19;0;0;0;0;0;0;0,38034188034188;0;0,38034188034188
05/16/2026;143;0;143;77;37;0;37;6;0;6;0;0;0;0;0;0;0,300699300699301;0;0,300699300699301
05/17/2026;82;0;82;30;4;0;4;2;0;2;0;0;0;0;0;0;0,0731707317073171;0;0,0731707317073171
05/18/2026;136;0;136;47;29;0;29;11;0;11;0;0;0;0;0;0;0,294117647058824;0;0,294117647058824
05/19/2026;341;0;341;101;23;0;23;13;0;13;0;0;0;1;0;1;0,108504398826979;0;0,108504398826979
05/20/2026;365;0;365;170;55;0;55;37;0;37;0;0;0;0;0;0;0,252054794520548;0;0,252054794520548
05/21/2026;310;0;310;136;44;0;44;25;0;25;0;0;0;2;0;2;0,229032258064516;0;0,229032258064516
05/22/2026;464;0;464;180;170;0;170;26;0;26;0;0;0;1;0;1;0,424568965517241;0;0,424568965517241
05/23/2026;239;0;239;99;115;0;115;9;0;9;0;0;0;0;0;0;0,518828451882845;0;0,518828451882845
05/24/2026;134;0;134;80;15;0;15;8;0;8;1;0;1;0;0;0;0,17910447761194;0;0,17910447761194
05/25/2026;162;0;162;57;96;0;96;9;0;9;1;0;1;0;0;0;0,654320987654321;0;0,654320987654321
05/26/2026;438;0;438;80;102;0;102;9;0;9;0;0;0;0;0;0;0,253424657534247;0;0,253424657534247
05/27/2026;154;0;154;60;35;0;35;7;0;7;0;0;0;0;0;0;0,272727272727273;0;0,272727272727273
05/28/2026;251;0;251;90;47;0;47;10;0;10;0;0;0;0;0;0;0,227091633466135;0;0,227091633466135
05/29/2026;226;0;226;100;49;0;49;-3;0;-3;0;0;0;1;0;1;0,207964601769911;0;0,207964601769911
05/30/2026;61;0;61;44;0;0;0;3;0;3;0;0;0;0;0;0;0,0491803278688525;0;0,0491803278688525
05/31/2026;52;0;52;28;30;0;30;3;0;3;0;0;0;0;0;0;0,634615384615385;0;0,634615384615385
06/01/2026;363;0;363;212;14;0;14;22;0;22;0;0;0;0;0;0;0,0991735537190083;0;0,0991735537190083
06/02/2026;254;0;254;142;10;0;10;13;0;13;0;0;0;0;0;0;0,0905511811023622;0;0,0905511811023622
06/03/2026;92;0;92;47;13;0;13;2;0;2;0;0;0;0;0;0;0,16304347826087;0;0,16304347826087
06/04/2026;186;0;186;78;53;0;53;4;0;4;0;0;0;0;0;0;0,306451612903226;0;0,306451612903226
06/05/2026;193;0;193;89;25;0;25;11;0;11;0;0;0;0;0;0;0,186528497409326;0;0,186528497409326
06/06/2026;39;0;39;30;1;0;1;1;0;1;0;0;0;0;0;0;0,0512820512820513;0;0,0512820512820513
06/07/2026;36;0;36;19;4;0;4;4;0;4;0;0;0;0;0;0;0,222222222222222;0;0,222222222222222
